AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|1|N|TUNGURAHUA|AMBATO|2592744,4200|358561,3100|0,0000|10252,2200|0,0000|1301016,2700|587191,2500|1497,0300|44269,5900|1976505,1900|2961557,9500
2025|1|G|MANABI|PICHINCHA|469607,9600|2431144,6700|0,0000|64381,9000|12896671,3500|758338,2500|1036159,1300|228,9700|32958,4300|1920943,5600|15861805,8800
2025|1|N|PICHINCHA|PEDRO MONCAYO|40311,3100|8786,6400|11778,7800|0,0000|0,0000|35599,4600|15509,1900|0,0000|421,5100|51760,4900|60876,7300
2025|1|C|ESMERALDAS|QUININDE|425582,7400|2639582,4100|0,0000|0,0000|0,0000|305207,5200|2027195,2100|1757,2500|38499,1400|2372708,0700|3065165,1500
2025|1|G|GUAYAS|GUAYAQUIL|1370485830,9400|665140970,5400|47576,6600|12995893,8900|327395470,3200|936595458,4600|617755513,3000|447523463,1800|6185568,8000|2029132986,6000|2376065742,3500
2025|1|C|MANABI|MANTA|5712387,5500|25793315,2900|83081,7300|3140,3800|27119368,0900|8925527,2600|18612466,9700|11041711,0500|258507,6700|39116340,0900|58711293,0400
2025|1|G|MANABI|BOLIVAR|1612492,2000|1818046,8100|0,0000|31420,3700|273012,3000|2080060,0700|1426940,3300|97,1100|291330,9200|3844509,7800|3734971,6800
2025|1|J|CAÑAR|AZOGUES|789457,5800|5641,6500|0,0000|0,0000|0,0000|503835,5100|8933,3300|6808,1800|3727,9600|534057,4400|795099,2300
2025|1|A|AZUAY|CUENCA|555749,5500|3487366,6800|0,0000|0,0000|615067,5700|1167855,1200|2614482,9900|0,0100|48718,0000|3840634,5400|4658183,8000
2025|1|C|PICHINCHA|QUITO|496731581,0000|193542494,1600|768809,2000|43128281,9600|64656052,1900|225361226,1200|199351391,7600|208334951,0900|4002899,6300|662988387,7000|798827218,5100
2025|1|A|NAPO|ARCHIDONA|13569,6900|5069,8900|0,0000|0,0000|0,0000|11219,1100|1089,9300|0,0000|1250,0000|13626,6600|18639,5800
2025|1|G|MANABI|JUNIN|516615,2700|4144251,2600|0,0000|0,0000|4895,0200|510061,2500|2203606,9700|329768,3000|2901,2000|3051246,5200|4665761,5500
2025|1|N|LOS RIOS|BUENA FE|150726,0100|22432,6200|0,0000|0,0000|0,0000|42490,9500|20156,6700|0,0000|0,0000|67371,9800|173158,6300
2025|1|C|MANABI|EL CARMEN|205185,9800|3177427,9400|0,0000|80500,5500|665184,1100|675490,4800|3436273,1600|456,7500|32682,7300|4199910,8000|4128298,5800
2025|1|M|SANTO DOMINGO DE LOS TSACHILAS|LA CONCORDIA|365319,5900|176772,3400|0,0000|0,0000|0,0000|236983,2700|101012,7800|0,0000|3312,8900|345380,0300|542091,9300
2025|1|M|CAÑAR|CAÑAR|620176,7300|69703,9400|0,0000|4447,4600|543,5300|310840,2700|56949,2300|0,0000|2498,7600|458127,8700|694871,6600
2025|1|M|EL ORO|MACHALA|6325640,4700|2302981,9000|111,1200|19793,2600|1622202,9300|4211309,0300|1920457,8200|113974,8800|227455,2900|6655585,1900|10270729,6800
2025|1|I|GALAPAGOS|SANTA CRUZ|1255404,7200|1257882,3500|66529,3900|0,0000|1100,7300|898987,0600|701565,4100|0,0000|91011,4900|1698850,9400|2580917,1900
2025|1|N|ESMERALDAS|SAN LORENZO|800,0700|6059,6000|0,0000|0,0000|0,0000|3259,6200|1457,7500|0,0000|4200,0000|8917,3700|6859,6700
2025|1|G|EL ORO|EL GUABO|3524036,6400|5682300,5400|0,0000|412603,8500|3519135,7300|4012569,5400|7106599,3000|251527,1700|87318,4200|11877108,9200|13138076,7600
2025|1|C|TUNGURAHUA|PATATE|791770,4900|10686,9100|0,0000|0,0000|0,0000|602412,6400|17158,1300|0,0000|0,0000|619570,7700|802457,4000
2025|1|H|TUNGURAHUA|AMBATO|854781,6900|6573698,8500|0,0000|10163,3900|0,0000|2270340,4600|4099912,4900|100452,7300|67610,0500|6568866,9700|7438643,9300
2025|1|F|COTOPAXI|PUJILI|30832,2200|14681,0100|0,0000|4900,0000|0,0000|112266,2500|31311,4900|0,0000|539,1000|151790,5800|50413,2300
2025|1|G|MANABI|CHONE|5382016,4900|10207690,4200|0,0000|186400,8200|0,0000|6692805,9600|6215718,2100|62446,0600|37481,4700|13213820,0000|15776107,7300
2025|1|F|ESMERALDAS|ESMERALDAS|3002327,2900|30339,0700|0,0000|12652,7800|0,0000|1401855,0400|200853,7800|6132,8400|16063,8400|1709803,4700|3045319,1400
2025|1|M|LOS RIOS|BABAHOYO|761977,8500|478557,6100|0,0000|157,1400|0,0000|837732,8600|260083,3800|0,0000|3960,0400|1114904,1500|1240692,6000
2025|1|A|LOJA|LOJA|56891,0700|1105094,1000|215,7400|0,0000|34698,0000|186413,2200|868477,2800|0,0000|2911,9600|1066827,3700|1196898,9100
2025|1|B|ZAMORA CHINCHIPE|PAQUISHA|9515,4400|289002,1100|0,0000|0,0000|0,0000|365549,3300|29146,6700|295,0000|4906,7000|400420,6800|298517,5500
